movieId,title,original_language,vote_average,vote_count,popularity,poster_path,id
27205,Inception,en,8.1,14075.0,29.108149,/qmDpIHrmpJINaRKAfWQfftjCdyi.jpg,27205
155,The Dark Knight,en,8.3,12269.0,123.167259,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,155
19995,Avatar,en,7.2,12114.0,185.070892,/kmcqlZGaSh20zpTbuoF0Cdn07dT.jpg,19995
24428,The Avengers,en,7.4,12000.0,89.887648,/cezWGskPY5x7GaglTTRN4Fugfb8.jpg,24428
293660,Deadpool,en,7.4,11444.0,187.860492,/inVq3FRqcYIRl2la8iZikYYxFNR.jpg,293660
157336,Interstellar,en,8.1,11187.0,32.213481,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,157336
68718,Django Unchained,en,7.8,10297.0,19.785025,/5WJnxuw41sddupf8cwOxYftuvJG.jpg,68718
118340,Guardians of the Galaxy,en,7.9,10014.0,53.291601,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,118340
550,Fight Club,en,8.3,9678.0,63.869599,/adw6Lq9FiC9zjYEpOqfq03ituwp.jpg,550
70160,The Hunger Games,en,6.9,9634.0,20.031667,/iLJdwmzrHFjFwI5lvYAT1gcpRuA.jpg,70160
76341,Mad Max: Fury Road,en,7.3,9629.0,29.36178,/kqjL17yufvn9OVLyXYpvtyrFfak.jpg,76341
49026,The Dark Knight Rises,en,7.6,9263.0,20.58258,/dEYnvnUfXrqvqeRSqvIEtmzhoA8.jpg,49026
603,The Matrix,en,7.9,9079.0,33.366332,/hEpWvX6Bp79eLxY1kX5ZZJcme5U.jpg,603
1726,Iron Man,en,7.4,8951.0,22.073099,/848chlIWVT41VtAAgyh9bWymAYb.jpg,1726
68721,Iron Man 3,en,6.8,8951.0,23.721243,/1Ilv6ryHUv6rt9zIsbSEJUmmbEi.jpg,68721
120,The Lord of the Rings: The Fellowship of the Ring,en,8.0,8892.0,32.070725,/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg,120
135397,Jurassic World,en,6.5,8842.0,32.790475,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,135397
680,Pulp Fiction,en,8.3,8670.0,140.950236,/dM2w364MScsjFf8pfMbaWUcWrR.jpg,680
49051,The Hobbit: An Unexpected Journey,en,7.0,8427.0,23.253089,/ysX7vDmSh5O19vFjAi56WL7l4nk.jpg,49051
278,The Shawshank Redemption,en,8.5,8358.0,51.645403,/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg,278
122,The Lord of the Rings: The Return of the King,en,8.1,8226.0,29.324358,/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg,122
13,Forrest Gump,en,8.2,8147.0,48.307194,/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg,13
140607,Star Wars: The Force Awakens,en,7.5,7993.0,31.626013,/weUSwMdQIa3NaXVzwUoIIcAi85d.jpg,140607
597,Titanic,en,7.5,7770.0,26.88907,/kHXEpyfl6zqn8a6YuozZUujufXf.jpg,597
37724,Skyfall,en,6.9,7718.0,20.309585,/9qUcmHiPpfTJTacyZyxfGTnSz0V.jpg,37724
297761,Suicide Squad,en,5.9,7717.0,42.965027,/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg,297761
121,The Lord of the Rings: The Two Towers,en,8.0,7641.0,29.423537,/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg,121
272,Batman Begins,en,7.5,7511.0,28.505341,/dr6x4GyyegBWtinPBzipY02J2lV.jpg,272
271110,Captain America: Civil War,en,7.1,7462.0,145.882135,/kSBXou5Ac7vEqKd97wotJumyJvU.jpg,271110
286217,The Martian,en,7.6,7442.0,25.62993,/5aGhaIHYuQbqlHWvWYqMCnj40y2.jpg,286217
22,Pirates of the Caribbean: The Curse of the Black Pearl,en,7.5,7191.0,47.326665,/tkt9xR1kNX5R9rCebASKck44si2.jpg,22
209112,Batman v Superman: Dawn of Justice,en,5.7,7189.0,31.435879,/cGOPbv9wA5gEejkUN892JrveARt.jpg,209112
671,Harry Potter and the Philosopher's Stone,en,7.5,7188.0,38.187238,/dCtFvscYcXQKTNvyyaQr2g2UacJ.jpg,671
1771,Captain America: The First Avenger,en,6.6,7174.0,19.323582,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,1771
14160,Up,en,7.8,7048.0,19.330884,/nk11pvocdb5zbFhX5oq5YiLPYMo.jpg,14160
10138,Iron Man 2,en,6.6,6969.0,19.083344,/ArqpkNYGfcTIA6umWt6xihfIZZv.jpg,10138
99861,Avengers: Age of Ultron,en,7.3,6908.0,37.37942,/t90Y3G8UGQp0f0DrP60wRu9gfrH.jpg,99861
11,Star Wars,en,8.1,6778.0,42.149697,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,11
106646,The Wolf of Wall Street,en,7.9,6768.0,16.382422,/vK1o5rZGqxyovfIhZyMELhk03wO.jpg,106646
150540,Inside Out,en,7.9,6737.0,23.985587,/aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg,150540
1930,The Amazing Spider-Man,en,6.5,6734.0,31.102267,/eA2D86Y6VPWuUzZyatiLBwpTilQ.jpg,1930
10195,Thor,en,6.6,6678.0,29.158489,/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg,10195
101299,The Hunger Games: Catching Fire,en,7.4,6656.0,25.309139,/Hn0KgefVEp0GkdTexS6gfKTMfi.jpg,101299
16869,Inglourious Basterds,en,7.9,6598.0,16.89564,/ai0LXkzVM3hMjDhvFdKMUemoBe.jpg,16869
20352,Despicable Me,en,7.1,6595.0,22.274502,/4zHJhBSY4kNZXfhTlmy2TzXD51M.jpg,20352
11324,Shutter Island,en,7.8,6559.0,15.813629,/aZqKsvpJDFy2UzUMsdskNFbfkOd.jpg,11324
281957,The Revenant,en,7.3,6558.0,23.501228,/oXUWEc5i3wYyFnL1Ycu8ppxxPvs.jpg,281957
49521,Man of Steel,en,6.5,6462.0,18.538834,/xWlaTLnD8NJMTT9PGOD9z5re1SL.jpg,49521
10681,WALLÂ·E,en,7.8,6439.0,16.088366,/9cJETuLMc6R0bTWRA5i7ctY9bxk.jpg,10681
18785,The Hangover,en,7.2,6324.0,23.947351,/uluhlXubGu1VxU63X9VHCLWDAYP.jpg,18785
